Title,Authors,PMID,Journal,Date
Surgical chylothorax in neonates : management and outcomes.,"Costa KM, Saxena AK.",29508361,World J Pediatr,2018 Apr
Epigastric Hernias in Children : A Personal Series and Systematic Review of the Literature.,"Tinawi GK, Stringer MD.",33171519,Eur J Pediatr Surg,2022 Apr
"Inguinal hernioplasty in children -open or laparoscopic ?: A retrospective cohort study of 1,072 cases.","Tímár ÁE, Bénes D, Terebessy A, Fadgyas B.",39718571,Pediatr Surg Int,2024 Dec
Monteggia equivalent lesion in children : a narrative review.,"Xu L, Ye W, Li H, Xu J, Zhu W, Zhen Z, Yang Y.",36474972,World J Pediatr Surg,2021 Jul
Asynchronus bilateral ovarian torsions in girls-systematic review.,"Raicevic M, Saxena AK.",28646432,World J Pediatr,2017 Oct
Laparoscopic Treatment of Intestinal Malrotation in Children.,"Ooms N, Matthyssens LE, Draaisma JM, de Blaauw I, Wijnen MH.",26086418,Eur J Pediatr Surg,2016 Aug
Fifteen-minute consultation: Guide to paediatric voice disorders.,"Watson NA, Orton KA, Hall A.",33579744,Arch Dis Child Educ Pract Ed,2022 Apr
Palliative care and paediatric cardiology: current evidence and future directions.,"Morell E, Moynihan K, Wolfe J, Blume ED.",31126897,LancetChild Adolesc Health,2019 Jul
Laparoscopic surgery for lumbar hernia in children.,"Zhen C, Xiaofang W, Yadong L, Yandong W, Shuli L, Mao Y, Chao L, Zhen Z, Jun Z.",40820166,Pediatr Surg Int,2025 Aug
Current and future state of the management of Hirschsprung disease.,"Mueller JL, Hotta R.",40177062,World J Pediatr Surg,2025 Mar
Prevalence and outcomes of pediatric surgical conditions at Connaught Hospital in Freetown: a retrospective study.,"Kwasau H, Kamanda J, Lebbie A, Cotache-Condor C, Espinoza P, Grimm A, Wright N, Smith E.",38328392,World J Pediatr Surg,2023 Feb
Perioperative extracorporeal membrane oxygenation in pediatric congenital heart disease: Chinese expert consensus.,"Lin R, Wang W, Wang X, Xu ZM, Liu JP, Zhou CB, Hong XY, Mo XM, Shi SS, Ye LF, Shu Q.",36417081,World J Pediatr,2023 Jan
Robot - assisted surgery for pediatric tumors: A single-center study of 114 cases.,"Chang S, Feng J, Cheng Y, Yang S, Ren Q, Cheng H, Chang X, Zhu Z, Han J, Yang W, Qin H, Wang H.",40850245,Surgery,2025 Aug
Ureteral Stent Colonization and Urinary Tract Infection in Children Undergoing Minimally Invasive Pyeloplasty.,"Neheman A, Sabler IM, Beberashvili I, Goltsman G, Verchovsky G, Kord E, Yossepowitch O, Zisman A, Stav K.",35858642,Eur J Pediatr Surg,2023 Feb
Intraperitoneal Local Anesthetic in Pediatric Surgery : A Systematic Review.,"Hamill JK, Rahiri JL, Liley A, Hill AG.",27105452,Eur J Pediatr Surg,2016 Dec
Efficacy of robot-assisted thoracoscopic surgery in the treatment of pulmonary sequestration in children.,"Liang L, Tan Z, Huang T, Gao Y, Zhang J, Yu J, Xia J, Shu Q.",39104727,World J Pediatr Surg,2024 Aug
Perioperative Complications in Neonatal Surgery : Biliary Atresia and Choledochal Malformations.,"Wilde JCH, Calinescu AM, Wildhaber BE.",29510428,Eur J Pediatr Surg,2018 Apr
Surgical treatment of children and youth with congenital melanocytic nevi: self- and proxy-reported opinions.,"Neuhaus K, Landolt M, Vojvodic M, Böttcher-Haberzeth S, Schiestl C, Meuli M, Masnari O.",32125501,Pediatr Surg Int,2020 Apr
Epigastric hernias in children and the use of ultrasound in its diagnosis.,"König TT, Oerters LS, Spiller L, Schwind M, Born M, Oetzmann von Sochaczewski C, Heydweiller AC.",37051458,World J Pediatr Surg,2023 Apr
"Robot-assisted laparoscopic pyeloplasty in the pediatric population: a review of technique, outcomes, complications, and special considerations in infants.","Boysen WR, Gundeti MS.",28365863,Pediatr Surg Int,2017 Sep
Perioperative Complications of Congenital Diaphragmatic Hernia Repair.,"Barroso C, Correia-Pinto J.",29458230,Eur J Pediatr Surg,2018 Apr
Role of ultrasound in the treatment of pediatric infectious diseases: case series and narrative review.,"Hosokawa T, Tanami Y, Sato Y, Deguchi K, Takei H, Oguma E.",36129633,World J Pediatr,2023 Jan
Second branchial cleft anomalies in children : a literature review.,"Shen LF, Zhou SH, Chen QQ, Yu Q.",30251021,Pediatr Surg Int,2018 Dec
"Patterns, procedures, and indications for pediatric surgery in a Tanzanian Refugee Camp: a 20-year experience.","Rapaport S, Enumah ZO, Ngude H, Rhee DS, Abbas M, Lekey A, Winch PJ, Sakran JV, Stevens KA.",37396496,World J Pediatr Surg,2023 Jun
"Conditions that mimic Hirschsprung's disease, but that are not Hirschsprung's disease.","Onishi S, Ieiri S.",40094120,World J Pediatr Surg,2025 Mar
Laparoscopic Ureteral Reimplantation after Failed Open Surgery : Incorporating the Psoas Hitch Maneuver for Sufficient Tunnel Length.,"Shumaker AD, Kord E, Dubrov V, Bondarenko S, Visman Y, Stav K, Zisman A, Neheman A.",35858643,Eur J Pediatr Surg,2023 Feb
Robotic-assisted surgery for choledochal cyst in children : early experience at Vietnam National Children 's Hospital.,"Pham HD, Okata Y, Vu HM, Tran NX, Nguyen QT, Nguyen LT.",31270674,Pediatr Surg Int,2019 Nov
Laparoscopic versus Open Inguinal Hernia Repair Is Feasible in Infants with Caudal Anesthesia and Spontaneous Respiration.,"Kiblawi R, Beck C, Keil O, Schukfeh N, Hofmann AD, Ure BM, Kuebler JF.",36220133,Eur J Pediatr Surg,2023 Feb
The Current Thoracoscopic Management of Esophageal Atresia.,"Fraser JD, St Peter SD.",32146717,Eur J Pediatr Surg,2020 Apr
Unusual abdominal metastases in osteosarcoma.,"Berhe S, Danzer E, Meyers P, Behr G, LaQuaglia MP, Price AP.",29085778,J Pediatr Surg Case Rep,2018 Jan
Open versus laparoscopic approach for intestinal malrotation in infants and children : a systematic review and meta-analysis.,"Catania VD, Lauriti G, Pierro A, Zani A.",27709290,Pediatr Surg Int,2016 Dec
Laparoscopic management of benign splenic tumors in children.,"Qingjiang C, Wang L, Chen X, Zhang Y, Zhang L, Zhu K, Xiong Q, Gao Z.",36474737,World J Pediatr Surg,2022 Jul
Surgical Management of the Undescended Testis: Recent Advances and Controversies.,Elder JS.,27631723,Eur J Pediatr Surg,2016 Oct
Complications in children with percutaneous endoscopic gastrostomy (PEG) placement.,"Balogh B, Kovács T, Saxena AK.",30456563,World J Pediatr,2019 Feb
Traumatic Stress among School-Aged Pediatric Surgery Patients and Their Parents.,"Ben Ari A, Margalit D, Udassin R, Benarroch F.",29909602,Eur J Pediatr Surg,2019 Oct
Critical design and validation considerations for the development of neonatal minimally invasive surgery simulators.,"Nair D, Wells JM, Cook N, Moorhead A, Beasley SW.",31213289,J PediatrSurg,2019 Nov
The Role of Laparoscopic Treatment of Choledochal Malformation in Europe: A Single-Center Experience and Review of the Literature.,"Schukfeh N, Abo-Namous R, Madadi-Sanjani O, Uecker M, Petersen C, Ure BM, Kuebler JF.",35764302,Eur J Pediatr Surg,2022 Dec
Surgical Implications for Diagnosis and Treatment of Intestinal Aspergillosis in Pediatric Patients with ALL.,"Fischer J, Simon T, Hamprecht A, Hos N, Möricke A, Cernaianu G, Tharun L, Gruhn B, Plum G, Dübbers M.",28946164,Eur J Pediatr Surg,2018 Dec
Robotic versus laparoscopic radical surgery for pediatric congenital biliary dilatation: a comparison of surgical outcomes of a single surgeon's initial experience.,"Maeda T, Liu J, Uchida H, Amano H, Shirota C, Tainaka T, Sumida W, Makita S, Takimoto A, Takada S, Nakagawa Y, Gouda A, Guo Y, Hinoki A.",37660350,Pediatr Surg Int,2023 Sep
Use of biobehavioral interventions in children undergoing surgery and associated patient-reported outcomes.,"Sullivan GA, Tian Y, Schäfer WLA, Giger KM, Willberding MJ, Reiter AJ, Essner B, Hu AJ, Ingram MC, Balbale S, Johnson JK, Holl JL, Raval MV.",39949508,J Pediatr Surg Open,2024 Oct
Effectiveness of psychosocial interventions for pediatric patients with scoliosis: a systematic review.,"van Niekerk M, Richey A, Vorhies J, Wong C, Tileston K.",36919027,World J Pediatr Surg,2023 Mar
Laparoscopic versus open inguinal hernia repair in children : which is the true gold-standard? A systematic review and meta-analysis.,"Kantor N, Travis N, Wayne C, Nasr A.",31292721,Pediatr Surg Int,2019 Sep
Neutrophil-to-Lymphocyte Ratio as a Predictor of the Need for Surgical Treatment in Children 's Intussusception.,"Delgado-Miguel C, García A, Delgado B, Muñoz-Serrano AJ, Miguel-Ferrero M, Camps J, Lopez-Santamaria M, Martinez L.",35913089,Eur J Pediatr Surg,2023 Oct
Tracheoesophageal fistula in the developing world: are we ready for thoracoscopic repair?,"Alslaim HS, Banooni AB, Shaltaf A, Novotny NM.",32219560,Pediatr Surg Int,2020 May
Evaluation of renal oxygenization in laparoscopic pediatric surgery by near infrared spectroscopy.,"Çalışkan E, Şanal Baş S, Onay M, Kılıç Y, Kayhan Erdoğan G, Tokar B.",32651617,Pediatr Surg Int,2020 Sep
Innovative minimally invasive gastric pull-up techniques in children : SILS and robot-assisted gastric pull-up.,"Dokumcu Z, Celtik U, Hasan S, Ozcan C, Erdener A.",39585432,Pediatr Surg Int,2024 Nov
Surgical management of the diaphragmatic defect in congenital diaphragmatic hernia: a contemporary review.,"Jank M, Boettcher M, Keijzer R.",39183804,World J Pediatr Surg,2024 Aug
Perceptions of telemedicine at a pediatric otolaryngology-head and neck surgery program.,"Gwilt C, Metzger G, Jatana K, Bourgeois T, Walz P.",36474746,World J Pediatr Surg,2022 Nov
YouTube and pediatric surgery. What is the danger for parents?,"Adorisio O, Silveri M, De Peppo F, Ceriati E, Marchetti P, De Goyet Jde V.",24683101,Eur J Pediatr Surg,2015 Apr
Treatment of isolated and recurrent tracheoesophageal fistula in children : a case series and literature review.,"Sautin A, Marakhouski K, Pataleta A, Svirsky A, Averyn V.",36475238,World J Pediatr Surg,2021 Sep
Management of severe acute pulmonary haemorrhage in children.,"Gipsman AI, Grant LMC, Piccione JC, Yehya N, Witmer C, Young LR, Wannes Daou A, Srinivasan A, Phinizy PA.",40246361,LancetChild Adolesc Health,2025 May
Evaluation of the regional distribution of the pediatric surgery workforce and surgical load in Brazil.,"Bustorff-Silva J, Miranda ML, Rosendo A, Gerk A, Oliveira-Filho AG.",37215247,World J Pediatr Surg,2023 May
Surgical Procedure Choice for Removing Hepatic Cysts of Echinococcus granulosus in Children.,"Ran B, Shao Y, Yimiti Y, Aji T, Jiang T, Cheng L, Li W, Zhang W, Wen H.",26479421,Eur J Pediatr Surg,2016 Aug
Remote ischemic conditioning prevents ischemic cerebrovascular events in children with moyamoya disease: a randomized controlled trial.,"Huang SF, Xu JL, Ren CH, Sim N, Han C, Han YQ, Zhao WB, Ding YC, Ji XM, Li SJ.",38951456,World J Pediatr,2024 Sep
Advances in the conventional clinical treatment for hepatoblastoma and therapeutic innovation.,"Chen Z, Dong R.",36474976,World J Pediatr Surg,2021 Jun
The Global Initiative for Children 's Surgery : Optimal Resources for Improving Care.,"Goodman LF, St-Louis E, Yousef Y, Cheung M, Ure B, Ozgediz D, Ameh EA, Bickler S, Poenaru D, Oldham K, Farmer D, Lakhoo K; GICS Collaborators.",28806850,Eur J Pediatr Surg,2018 Feb
Survey on surgical treatment of neonatal necrotizing enterocolitis in China 2022.,"Gao J, Lai D, Tou J.",37575368,World J Pediatr Surg,2023 Aug
Fifteen-minute consultation: A child with toe walking.,"Sivaramakrishnan S, Seal A.",25855215,Arch Dis Child Educ Pract Ed,2015 Oct
Characteristics and trends of pediatric firepit burns: insights for prevention and safety.,"Fazal M, Chidiac C, Ahmad R, Issa O, Hodgman E, Garcia AV.",38298825,World J Pediatr Surg,2024 Jan
The role of the early video-assisted thoracoscopic surgery in children with pleural empyema.,"Di Mitri M, Thomas E, Capano E, Bisanti C, D'Antonio S, Libri M, Gargano T, Lima M.",38761186,Pediatr Surg Int,2024 May
Short-term outcomes of thoracoscopic versus open lobectomy for congenital lung malformations.,"Raymond SL, Sacks MA, Hashmi A, Robertson JO, Moores D, Tagge EP, Radulescu A, Islam S, Khan FA.",36944730,Pediatr Surg Int,2023 Mar
Conversion from laparoscopic to open appendectomy: decreased risk at dedicated children 's hospitals.,"Johnson KN, Linnaus M, Notrica DM.",29926162,Pediatr Surg Int,2018 Aug
Delayed diagnosis of anorectal malformations: a call for standardization of the current definitions.,"Oyania F, Faktor K, Ullrich S, Ozgediz D, Kotagal M.",39737078,World J Pediatr Surg,2024 Dec
Recent advances in molecular biology and treatment strategies for intracranial germ cell tumors.,"Huang X, Zhang R, Mao Y, Zhou LF, Zhang C.",27351562,World J Pediatr,2016 Aug
Clinical application of enhanced recovery after surgery concept in laparoscopic treatment of pediatric acute appendicitis.,"Zhang SM, Chen J, Li H, Guo MF, Han N, Sun JS, Zhang CF, Su L.",37041392,Pediatr Surg Int,2023 Apr
Exploring the frontier in robotic pediatric cancer surgery : when to move forward and when to stop.,"Palo F, Avanzini S, Barretta I, Monti M, Torre M, Conte M, Calevo MG, Mattioli G.",38806812,Pediatr Surg Int,2024 May
Role of practice standardization in outcome optimization for CDH.,"Dimmer A, Baird R, Puligandla P.",38532942,World J Pediatr Surg,2024 Mar
"Venous thromboembolism in children undergoing surgery : incidence, risk factors and related adverse events.","Mets EJ, McLynn RP, Grauer JN.",36474866,World J Pediatr Surg,2020 Apr
The feasibility and safety of same-day surgery for diaphragmatic eventration by minithoracotomy in children.,"Huang D, Tang J, Wang F, Li L, Liang J, Zhuang L, Yang Q, Zeng J, Liu W.",33864497,Pediatr Surg Int,2021 Sep
Socioeconomic status and outcomes of paediatric cardiac surgery.,Brown KL.,30169277,LancetChild Adolesc Health,2018 Jun
Laparoscopic versus open inguinal hernia repair in children 3: a randomized controlled trial.,"Gause CD, Casamassima MGS, Yang J, Hsiung G, Rhee D, Salazar JH, Papandria D, Pryor HI 2nd, Stewart D, Lukish J, Colombani P, Chandler NM, Johnson E, Abdullah F.",28025693,Pediatr Surg Int,2017 Mar
Management of Spontaneous Pneumothorax in Children : A Systematic Review and Meta-Analysis.,"Miscia ME, Lauriti G, Lisi G, Riccio A, Lelli Chiesa P.",31899922,Eur J Pediatr Surg,2020 Feb
Bowel obstruction following pediatric abdominal cancer surgery.,"Habti M, Miyata S, Côté J, Krauel L, Piché N.",35429262,Pediatr Surg Int,2022 Jul
Peter Paul Rickham: the Liverpool neonatal surgery unit 1953.,Losty PD.,39609286,Pediatr Surg Int,2024 Nov
Laparoscopic Inguinal Hernia Repair in Infants and Children : State-of-the-Art Technique.,"Chan IH, Tam PK.",29166678,Eur J Pediatr Surg,2017 Dec
Lung Resection in Children with Necrotizing Pneumonia: Outcome and Follow-up.,"Frybova B, Koucky V, Pohunek P, Cejnarova K, Coufal S, Kokesova A, Dotlacil V, Petrasova N, Pos L, Snajdauf J, Hlava S, Polivka N, Rygl M.",33677824,Eur J Pediatr Surg,2022 Jun
Quality of life outcomes in children after surgery for Hirschsprung disease and anorectal malformations: a systematic review and meta-analysis.,"Oltean I, Hayawi L, Larocca V, Bijelić V, Beveridge E, Kaur M, Grandpierre V, Kanyinda J, Nasr A.",36474732,World J Pediatr Surg,2022 Nov
Thoracoscopy in paediatric patients with mediastinal lymphangiomas: 10 years of surgical experience in a single centre.,"Wu Y, Zeng Q, Chen C, Yu J, Zhang N.",39627365,Pediatr Surg Int,2024 Dec
